claim_id,section,page,claim_or_metric,method,value,benchmark,source_location,notes
T3_TRANSFUSER_HC,"Main Results: Table 3",7,"HC","TransFuser","100","NAVSIM v2","Table 3 row TransFuser","Higher is better"
T3_TRANSFUSER_EC,"Main Results: Table 3",7,"EC","TransFuser","95.3","NAVSIM v2","Table 3 row TransFuser","Higher is better"
T3_TRANSFUSER_EPDMS,"Main Results: Table 3",7,"EPDMS","TransFuser","77.8","NAVSIM v2","Table 3 row TransFuser","Single-trajectory planning"
T3_RECOG_NC,"Main Results: Table 3",7,"NC","ReCogDrive","98.3","NAVSIM v2","Table 3 row ReCogDrive","Higher is better"
T3_RECOG_DAC,"Main Results: Table 3",7,"DAC","ReCogDrive","95.2","NAVSIM v2","Table 3 row ReCogDrive","Higher is better"
T3_RECOG_DDC,"Main Results: Table 3",7,"DDC","ReCogDrive","99.5","NAVSIM v2","Table 3 row ReCogDrive","Higher is better"
T3_RECOG_TLC,"Main Results: Table 3",7,"TLC","ReCogDrive","99.8","NAVSIM v2","Table 3 row ReCogDrive","Higher is better"
T3_RECOG_TTC,"Main Results: Table 3",7,"TTC","ReCogDrive","97.5","NAVSIM v2","Table 3 row ReCogDrive","Higher is better"
T3_RECOG_EP,"Main Results: Table 3",7,"EP","ReCogDrive","87.1","NAVSIM v2","Table 3 row ReCogDrive","Higher is better"
T3_RECOG_LK,"Main Results: Table 3",7,"LK","ReCogDrive","96.6","NAVSIM v2","Table 3 row ReCogDrive","Higher is better"
T3_RECOG_HC,"Main Results: Table 3",7,"HC","ReCogDrive","98.3","NAVSIM v2","Table 3 row ReCogDrive","Higher is better"
T3_RECOG_EC,"Main Results: Table 3",7,"EC","ReCogDrive","86.5","NAVSIM v2","Table 3 row ReCogDrive","Higher is better"
T3_RECOG_EPDMS,"Main Results: Table 3",7,"EPDMS","ReCogDrive","83.6","NAVSIM v2","Table 3 row ReCogDrive","Single-trajectory planning"
T3_HYDRA_NC,"Main Results: Table 3",7,"NC","Hydra-MDP++","98.8","NAVSIM v2","Table 3 row Hydra-MDP++","Higher is better"
T3_HYDRA_DAC,"Main Results: Table 3",7,"DAC","Hydra-MDP++","97.8","NAVSIM v2","Table 3 row Hydra-MDP++","Higher is better"
T3_HYDRA_DDC,"Main Results: Table 3",7,"DDC","Hydra-MDP++","99.1","NAVSIM v2","Table 3 row Hydra-MDP++","Higher is better"
T3_HYDRA_TLC,"Main Results: Table 3",7,"TLC","Hydra-MDP++","100","NAVSIM v2","Table 3 row Hydra-MDP++","Higher is better"
T3_HYDRA_TTC,"Main Results: Table 3",7,"TTC","Hydra-MDP++","95.3","NAVSIM v2","Table 3 row Hydra-MDP++","Higher is better"
T3_HYDRA_EP,"Main Results: Table 3",7,"EP","Hydra-MDP++","84.0","NAVSIM v2","Table 3 row Hydra-MDP++","Higher is better"
T3_HYDRA_LK,"Main Results: Table 3",7,"LK","Hydra-MDP++","70.1","NAVSIM v2","Table 3 row Hydra-MDP++","Higher is better"
T3_HYDRA_HC,"Main Results: Table 3",7,"HC","Hydra-MDP++","100","NAVSIM v2","Table 3 row Hydra-MDP++","Higher is better"
T3_HYDRA_EC,"Main Results: Table 3",7,"EC","Hydra-MDP++","96.8","NAVSIM v2","Table 3 row Hydra-MDP++","Higher is better"
T3_HYDRA_EPDMS,"Main Results: Table 3",7,"EPDMS","Hydra-MDP++","84.1","NAVSIM v2","Table 3 row Hydra-MDP++","Single-trajectory planning"
T3_DD_NC,"Main Results: Table 3",7,"NC","DiffusionDrive","98.2","NAVSIM v2","Table 3 row DiffusionDrive","Higher is better"
T3_DD_DAC,"Main Results: Table 3",7,"DAC","DiffusionDrive","95.9","NAVSIM v2","Table 3 row DiffusionDrive","Higher is better"
T3_DD_DDC,"Main Results: Table 3",7,"DDC","DiffusionDrive","99.4","NAVSIM v2","Table 3 row DiffusionDrive","Higher is better"
T3_DD_TLC,"Main Results: Table 3",7,"TLC","DiffusionDrive","99.8","NAVSIM v2","Table 3 row DiffusionDrive","Higher is better"
T3_DD_TTC,"Main Results: Table 3",7,"TTC","DiffusionDrive","97.3","NAVSIM v2","Table 3 row DiffusionDrive","Higher is better"
T3_DD_EP,"Main Results: Table 3",7,"EP","DiffusionDrive","87.5","NAVSIM v2","Table 3 row DiffusionDrive","Higher is better"
T3_DD_LK,"Main Results: Table 3",7,"LK","DiffusionDrive","96.8","NAVSIM v2","Table 3 row DiffusionDrive","Higher is better"
T3_DD_HC,"Main Results: Table 3",7,"HC","DiffusionDrive","98.3","NAVSIM v2","Table 3 row DiffusionDrive","Higher is better"
T3_DD_EC,"Main Results: Table 3",7,"EC","DiffusionDrive","87.7","NAVSIM v2","Table 3 row DiffusionDrive","Higher is better"
T3_DD_EPDMS,"Main Results: Table 3",7,"EPDMS","DiffusionDrive","84.5","NAVSIM v2","Table 3 row DiffusionDrive","Single-trajectory planning"
T3_CURIOUS_NC,"Main Results: Table 3",7,"NC","Curious-VLA","98.4","NAVSIM v2","Table 3 row Curious-VLA","Higher is better"
T3_CURIOUS_DAC,"Main Results: Table 3",7,"DAC","Curious-VLA","96.9","NAVSIM v2","Table 3 row Curious-VLA","Higher is better"
T3_CURIOUS_DDC,"Main Results: Table 3",7,"DDC","Curious-VLA","99.2","NAVSIM v2","Table 3 row Curious-VLA","Higher is better"
T3_CURIOUS_TLC,"Main Results: Table 3",7,"TLC","Curious-VLA","99.8","NAVSIM v2","Table 3 row Curious-VLA","Higher is better"
T3_CURIOUS_TTC,"Main Results: Table 3",7,"TTC","Curious-VLA","97.9","NAVSIM v2","Table 3 row Curious-VLA","Higher is better"
T3_CURIOUS_EP,"Main Results: Table 3",7,"EP","Curious-VLA","88.5","NAVSIM v2","Table 3 row Curious-VLA","Higher is better"
T3_CURIOUS_LK,"Main Results: Table 3",7,"LK","Curious-VLA","96.9","NAVSIM v2","Table 3 row Curious-VLA","Higher is better"
T3_CURIOUS_HC,"Main Results: Table 3",7,"HC","Curious-VLA","98.1","NAVSIM v2","Table 3 row Curious-VLA","Higher is better"
T3_CURIOUS_EC,"Main Results: Table 3",7,"EC","Curious-VLA","81.5","NAVSIM v2","Table 3 row Curious-VLA","Higher is better"
T3_CURIOUS_EPDMS,"Main Results: Table 3",7,"EPDMS","Curious-VLA","85.3","NAVSIM v2","Table 3 row Curious-VLA","Single-trajectory planning"
T3_DDV2_NC,"Main Results: Table 3",7,"NC","DiffusionDriveV2","97.7","NAVSIM v2","Table 3 row DiffusionDriveV2","Higher is better"
T3_DDV2_DAC,"Main Results: Table 3",7,"DAC","DiffusionDriveV2","96.6","NAVSIM v2","Table 3 row DiffusionDriveV2","Higher is better"
T3_DDV2_DDC,"Main Results: Table 3",7,"DDC","DiffusionDriveV2","99.2","NAVSIM v2","Table 3 row DiffusionDriveV2","Higher is better"
T3_DDV2_TLC,"Main Results: Table 3",7,"TLC","DiffusionDriveV2","99.8","NAVSIM v2","Table 3 row DiffusionDriveV2","Higher is better"
T3_DDV2_TTC,"Main Results: Table 3",7,"TTC","DiffusionDriveV2","97.2","NAVSIM v2","Table 3 row DiffusionDriveV2","Higher is better"
T3_DDV2_EP,"Main Results: Table 3",7,"EP","DiffusionDriveV2","88.9","NAVSIM v2","Table 3 row DiffusionDriveV2","Higher is better"
T3_DDV2_LK,"Main Results: Table 3",7,"LK","DiffusionDriveV2","96.0","NAVSIM v2","Table 3 row DiffusionDriveV2","Higher is better"
T3_DDV2_HC,"Main Results: Table 3",7,"HC","DiffusionDriveV2","97.8","NAVSIM v2","Table 3 row DiffusionDriveV2","Higher is better"
T3_DDV2_EC,"Main Results: Table 3",7,"EC","DiffusionDriveV2","91.0","NAVSIM v2","Table 3 row DiffusionDriveV2","Higher is better"
T3_DDV2_EPDMS,"Main Results: Table 3",7,"EPDMS","DiffusionDriveV2","85.5","NAVSIM v2","Table 3 row DiffusionDriveV2","Single-trajectory planning"
T3_DRIVEVLA_NC,"Main Results: Table 3",7,"NC","DriveVLA-W0","98.5","NAVSIM v2","Table 3 row DriveVLA-W0","Higher is better"
T3_DRIVEVLA_DAC,"Main Results: Table 3",7,"DAC","DriveVLA-W0","99.1","NAVSIM v2","Table 3 row DriveVLA-W0","Higher is better"
T3_DRIVEVLA_DDC,"Main Results: Table 3",7,"DDC","DriveVLA-W0","98.0","NAVSIM v2","Table 3 row DriveVLA-W0","Higher is better"
T3_DRIVEVLA_TLC,"Main Results: Table 3",7,"TLC","DriveVLA-W0","99.7","NAVSIM v2","Table 3 row DriveVLA-W0","Higher is better"
T3_DRIVEVLA_TTC,"Main Results: Table 3",7,"TTC","DriveVLA-W0","98.1","NAVSIM v2","Table 3 row DriveVLA-W0","Higher is better"
T3_DRIVEVLA_EP,"Main Results: Table 3",7,"EP","DriveVLA-W0","86.4","NAVSIM v2","Table 3 row DriveVLA-W0","Higher is better"
T3_DRIVEVLA_LK,"Main Results: Table 3",7,"LK","DriveVLA-W0","93.2","NAVSIM v2","Table 3 row DriveVLA-W0","Higher is better"
T3_DRIVEVLA_HC,"Main Results: Table 3",7,"HC","DriveVLA-W0","97.9","NAVSIM v2","Table 3 row DriveVLA-W0","Higher is better"
T3_DRIVEVLA_EC,"Main Results: Table 3",7,"EC","DriveVLA-W0","58.9","NAVSIM v2","Table 3 row DriveVLA-W0","Higher is better"
T3_DRIVEVLA_EPDMS,"Main Results: Table 3",7,"EPDMS","DriveVLA-W0","86.1","NAVSIM v2","Table 3 row DriveVLA-W0","Single-trajectory planning"
T3_JEPA_NC,"Main Results: Table 3",7,"NC","Drive-JEPA","98.4","NAVSIM v2","Table 3 row Drive-JEPA","Higher is better"
T3_JEPA_DAC,"Main Results: Table 3",7,"DAC","Drive-JEPA","98.6","NAVSIM v2","Table 3 row Drive-JEPA","Higher is better"
T3_JEPA_DDC,"Main Results: Table 3",7,"DDC","Drive-JEPA","99.1","NAVSIM v2","Table 3 row Drive-JEPA","Higher is better"
T3_JEPA_TLC,"Main Results: Table 3",7,"TLC","Drive-JEPA","99.8","NAVSIM v2","Table 3 row Drive-JEPA","Higher is better"
T3_JEPA_TTC,"Main Results: Table 3",7,"TTC","Drive-JEPA","97.8","NAVSIM v2","Table 3 row Drive-JEPA","Higher is better"
T3_JEPA_EP,"Main Results: Table 3",7,"EP","Drive-JEPA","88.4","NAVSIM v2","Table 3 row Drive-JEPA","Higher is better"
T3_JEPA_LK,"Main Results: Table 3",7,"LK","Drive-JEPA","97.6","NAVSIM v2","Table 3 row Drive-JEPA","Higher is better"
T3_JEPA_HC,"Main Results: Table 3",7,"HC","Drive-JEPA","97.9","NAVSIM v2","Table 3 row Drive-JEPA","Higher is better"
T3_JEPA_EC,"Main Results: Table 3",7,"EC","Drive-JEPA","84.8","NAVSIM v2","Table 3 row Drive-JEPA","Higher is better"
T3_JEPA_EPDMS,"Main Results: Table 3",7,"EPDMS","Drive-JEPA","87.8","NAVSIM v2","Table 3 row Drive-JEPA","Single-trajectory planning"
T3_AMPT_NC,"Main Results: Table 3",7,"NC","AMPT","98.4","NAVSIM v2","Table 3 row AMPT","Higher is better"
T3_AMPT_DAC,"Main Results: Table 3",7,"DAC","AMPT","97.7","NAVSIM v2","Table 3 row AMPT","Higher is better"
T3_AMPT_DDC,"Main Results: Table 3",7,"DDC","AMPT","99.0","NAVSIM v2","Table 3 row AMPT","Higher is better"
T3_AMPT_TLC,"Main Results: Table 3",7,"TLC","AMPT","99.7","NAVSIM v2","Table 3 row AMPT","Higher is better"
T3_AMPT_TTC,"Main Results: Table 3",7,"TTC","AMPT","97.7","NAVSIM v2","Table 3 row AMPT","Higher is better"
T3_AMPT_EP,"Main Results: Table 3",7,"EP","AMPT","89.4","NAVSIM v2","Table 3 row AMPT","Higher is better"
T3_AMPT_LK,"Main Results: Table 3",7,"LK","AMPT","91.7","NAVSIM v2","Table 3 row AMPT","Higher is better"
T3_AMPT_HC,"Main Results: Table 3",7,"HC","AMPT","97.1","NAVSIM v2","Table 3 row AMPT","Higher is better"
T3_AMPT_EC,"Main Results: Table 3",7,"EC","AMPT","87.7","NAVSIM v2","Table 3 row AMPT","Higher is better"
T3_AMPT_EPDMS,"Main Results: Table 3",7,"EPDMS","AMPT","89.1","NAVSIM v2","Table 3 row AMPT","Single-trajectory planning"
T3_MARGIN,"Main Results",6,"EPDMS margin over Drive-JEPA","AMPT","1.3","NAVSIM v2","NAVSIM v2 prose","89.1 minus 87.8"
T3_EP_GAIN,"Main Results",6,"EP gain over Drive-JEPA","AMPT","1.0","NAVSIM v2","NAVSIM v2 prose and Table 3","89.4 minus 88.4"
T3_EC_GAIN,"Main Results",6,"EC gain over Drive-JEPA","AMPT","2.9","NAVSIM v2","NAVSIM v2 prose and Table 3","87.7 minus 84.8"
T4_NONE_NC,"Ablation: Table 4",7,"NC","no PC-MTS; no FF-PGRPO; no APR","98.1","NAVSIM v1","Table 4 row 1","Called GT-only policy in surrounding prose"
T4_NONE_DAC,"Ablation: Table 4",7,"DAC","no PC-MTS; no FF-PGRPO; no APR","94.7","NAVSIM v1","Table 4 row 1",""
T4_NONE_TTC,"Ablation: Table 4",7,"TTC","no PC-MTS; no FF-PGRPO; no APR","94.2","NAVSIM v1","Table 4 row 1",""
T4_NONE_C,"Ablation: Table 4",7,"C","no PC-MTS; no FF-PGRPO; no APR","100","NAVSIM v1","Table 4 row 1",""
T4_NONE_EP,"Ablation: Table 4",7,"EP","no PC-MTS; no FF-PGRPO; no APR","80.9","NAVSIM v1","Table 4 row 1",""
T4_NONE_PDMS,"Ablation: Table 4",7,"PDMS","no PC-MTS; no FF-PGRPO; no APR","86.5","NAVSIM v1","Table 4 row 1","Table 2 GT IL is 86.4; relation is not explained"
T4_PCMTS_NC,"Ablation: Table 4",7,"NC","PC-MTS only","98.2","NAVSIM v1","Table 4 row 2",""
T4_PCMTS_DAC,"Ablation: Table 4",7,"DAC","PC-MTS only","95.2","NAVSIM v1","Table 4 row 2",""
T4_PCMTS_TTC,"Ablation: Table 4",7,"TTC","PC-MTS only","94.5","NAVSIM v1","Table 4 row 2",""
T4_PCMTS_C,"Ablation: Table 4",7,"C","PC-MTS only","100","NAVSIM v1","Table 4 row 2",""
T4_PCMTS_EP,"Ablation: Table 4",7,"EP","PC-MTS only","81.3","NAVSIM v1","Table 4 row 2",""
T4_PCMTS_PDMS,"Ablation: Table 4",7,"PDMS","PC-MTS only","86.9","NAVSIM v1","Table 4 row 2",""
T4_FF_NC,"Ablation: Table 4",7,"NC","FF-PGRPO only","98.4","NAVSIM v1","Table 4 row 3",""
T4_FF_DAC,"Ablation: Table 4",7,"DAC","FF-PGRPO only","98.0","NAVSIM v1","Table 4 row 3",""
T4_FF_TTC,"Ablation: Table 4",7,"TTC","FF-PGRPO only","95.8","NAVSIM v1","Table 4 row 3",""
T4_FF_C,"Ablation: Table 4",7,"C","FF-PGRPO only","100","NAVSIM v1","Table 4 row 3",""
T4_FF_EP,"Ablation: Table 4",7,"EP","FF-PGRPO only","85.93","NAVSIM v1","Table 4 row 3","Prose rounds to 85.9"
T4_FF_PDMS,"Ablation: Table 4",7,"PDMS","FF-PGRPO only","91.0","NAVSIM v1","Table 4 row 3",""
T4_PCFF_NC,"Ablation: Table 4",7,"NC","PC-MTS + FF-PGRPO","98.5","NAVSIM v1","Table 4 row 4",""
T4_PCFF_DAC,"Ablation: Table 4",7,"DAC","PC-MTS + FF-PGRPO","98.0","NAVSIM v1","Table 4 row 4",""
T4_PCFF_TTC,"Ablation: Table 4",7,"TTC","PC-MTS + FF-PGRPO","96.0","NAVSIM v1","Table 4 row 4",""
T4_PCFF_C,"Ablation: Table 4",7,"C","PC-MTS + FF-PGRPO","100","NAVSIM v1","Table 4 row 4",""
T4_PCFF_EP,"Ablation: Table 4",7,"EP","PC-MTS + FF-PGRPO","86.0","NAVSIM v1","Table 4 row 4",""
T4_PCFF_PDMS,"Ablation: Table 4",7,"PDMS","PC-MTS + FF-PGRPO","91.1","NAVSIM v1","Table 4 row 4","Round 0 before APR is 91.10 in Table 5"
T4_FULL_NC,"Ablation: Table 4",7,"NC","AMPT full","98.5","NAVSIM v1","Table 4 row 5",""
T4_FULL_DAC,"Ablation: Table 4",7,"DAC","AMPT full","98.0","NAVSIM v1","Table 4 row 5",""
T4_FULL_TTC,"Ablation: Table 4",7,"TTC","AMPT full","96.0","NAVSIM v1","Table 4 row 5",""
T4_FULL_C,"Ablation: Table 4",7,"C","AMPT full","100","NAVSIM v1","Table 4 row 5",""
T4_FULL_EP,"Ablation: Table 4",7,"EP","AMPT full","86.7","NAVSIM v1","Table 4 row 5",""
T4_FULL_PDMS,"Ablation: Table 4",7,"PDMS","AMPT full","91.4","NAVSIM v1","Table 4 row 5","Table 5 final is 91.45 before one-decimal rounding"
T5_R0_SCORE,"APR analysis: Table 5",7,"PDMS","Round 0 before APR","91.10","NAVSIM v1","Table 5 row Round 0","PC-MTS + FF-PGRPO policy"
T5_R1_SCORE,"APR analysis: Table 5",7,"PDMS","APR Round 1","91.21","NAVSIM v1","Table 5 row Round 1",""
T5_R1_GAIN,"APR analysis: Table 5",7,"gain per round","APR Round 1","+0.11","NAVSIM v1","Table 5 row Round 1",""
T5_R2_SCORE,"APR analysis: Table 5",7,"PDMS","APR Round 2","91.37","NAVSIM v1","Table 5 row Round 2",""
T5_R2_GAIN,"APR analysis: Table 5",7,"gain per round","APR Round 2","+0.16","NAVSIM v1","Table 5 row Round 2",""
T5_R3_SCORE,"APR analysis: Table 5",7,"PDMS","APR Round 3","91.45","NAVSIM v1","Table 5 row Round 3","Rounded to 91.4 in Table 4 and abstract"
T5_R3_GAIN,"APR analysis: Table 5",7,"gain per round","APR Round 3","+0.08","NAVSIM v1","Table 5 row Round 3",""
RECOVERY_SCALAR_COUNT,"Failure recovery",7,"recovered initial failures","original scalar GRPO","367 of 658","NAVSIM v1 hard-scene subset","Failure recovery paragraph","Gross recovery"
RECOVERY_SCALAR_RATE,"Failure recovery",7,"recovery rate","original scalar GRPO","55.8%","NAVSIM v1 hard-scene subset","Failure recovery paragraph","367/658 rounded to one decimal"
RECOVERY_AMPT_COUNT,"Failure recovery",7,"recovered initial failures","AMPT","440 of 658","NAVSIM v1 hard-scene subset","Failure recovery paragraph","Gross recovery"
RECOVERY_AMPT_RATE,"Failure recovery",7,"recovery rate","AMPT","66.9%","NAVSIM v1 hard-scene subset","Failure recovery paragraph","440/658 rounded to one decimal"
RECOVERY_COUNT_GAIN,"Failure recovery",7,"additional recovered scenes","AMPT vs original scalar GRPO","73","NAVSIM v1 hard-scene subset","Failure recovery paragraph","440 minus 367"
RECOVERY_PP_GAIN,"Failure recovery",7,"absolute recovery-rate gain","AMPT vs original scalar GRPO","11.1 percentage points","NAVSIM v1 hard-scene subset","Failure recovery paragraph","66.9 minus 55.8 at displayed precision"
FIG3_COMMAND_LEFT,"Qualitative results",6,"navigation command","Figure 3 scene (a)","Turn left","","Figure 3(a)","No scene ID or component metrics"
FIG3_COMMAND_RIGHT,"Qualitative results",6,"navigation command","Figure 3 scene (b)","Turn right","","Figure 3(b)","No scene ID or component metrics"
FIG3_METHODS,"Qualitative results",6,"visualized trajectories","Figure 3","AMPT; ReCogDrive; DiffusionDriveV2; GT","","Figure 3 legend",""
LIMIT_COMPAT,"Conclusion",7,"limitation","PC-MTS","compatibility test relies on finite policy samples","","Conclusion","Explicit limitation"
LIMIT_EVAL,"Conclusion",7,"limitation","APR/AMPT","teacher validation depends on an offline planning evaluator","","Conclusion","Explicit limitation"
FUTURE_COMPAT,"Conclusion",7,"future work","AMPT","learned compatibility estimates","","Conclusion",""
FUTURE_CLOSEDLOOP,"Conclusion",7,"future work","AMPT","interactive closed-loop environments","","Conclusion",""
SUPP_PROMISE_HPARAM,"Experimental Setup",5,"supplement promise","AMPT","complete hyperparameters","","Implementation details","Explicitly promised in supplementary materials"
SUPP_PROMISE_MERGE,"Method: APR",5,"supplement promise","APR","detailed constrained task-vector merging rules","","APR fourth paragraph","Explicitly left to supplementary material"
REF_ANG,"References",8,"bibliographic entry","Ang et al. 2026","CLOVER: Closed-Loop Value Estimation & Ranking for End-to-End Autonomous Driving Planning; arXiv:2605.15120","","References","Inventory only; not externally verified"
REF_CAO,"References",8,"bibliographic entry","Cao et al. 2025","Pseudo-simulation for autonomous driving; arXiv:2506.04218","","References","Inventory only; not externally verified"
REF_CHEN,"References",8,"bibliographic entry","Chen et al. 2026","Devil is in Narrow Policy: Unleashing Exploration in Driving VLA Models; arXiv:2603.06049","","References","Inventory only; not externally verified"
REF_CHI,"References",8,"bibliographic entry","Chi et al. 2023","Diffusion Policy: Visuomotor Policy Learning via Action Diffusion; Robotics: Science and Systems","","References","Inventory only; not externally verified"
REF_CHITTA,"References",8,"bibliographic entry","Chitta et al. 2022","Transfuser: Imitation with transformer-based sensor fusion for autonomous driving; IEEE TPAMI 45(11):12878-12895","","References","Inventory only; not externally verified"
REF_DAUNER,"References",8,"bibliographic entry","Dauner et al. 2024","NAVSIM: Data-Driven Non-Reactive Autonomous Vehicle Simulation and Benchmarking; NeurIPS 37 Datasets and Benchmarks Track","","References","Inventory only; not externally verified"
REF_HWANG,"References",8,"bibliographic entry","Hwang et al. 2024","EMMA: End-to-End Multimodal Model for Autonomous Driving; arXiv:2410.23262","","References","Inventory only; not externally verified"
REF_JIANG,"References",8,"bibliographic entry","Jiang et al. 2025","AlphaDrive: Unleashing the Power of VLMs in Autonomous Driving via Reinforcement Learning and Reasoning; arXiv:2503.07608","","References","Inventory only; not externally verified"
REF_JIAO,"References",8,"bibliographic entry","Jiao et al. 2025","EvaDrive: Evolutionary Adversarial Policy Optimization for End-to-End Autonomous Driving; arXiv:2508.09158","","References","Inventory only; not externally verified"
REF_KUMAR,"References",8,"bibliographic entry","Kumar et al. 2019","Stabilizing Off-Policy Q-Learning via Bootstrapping Error Reduction; NeurIPS 32:11761-11771","","References","Inventory only; not externally verified"
REF_LAROCHE,"References",8,"bibliographic entry","Laroche et al. 2019","Safe Policy Improvement with Baseline Bootstrapping; ICML/PMLR 97:3652-3661","","References","Inventory only; not externally verified"
REF_LI2025A,"References",8,"bibliographic entry","Li et al. 2025a","Hydra-MDP++: Advancing end-to-end driving via expert-guided hydra-distillation; arXiv:2503.12820","","References","Inventory only; not externally verified"
REF_LI2025B,"References",8,"bibliographic entry","Li et al. 2025b","Enhancing End-to-End Autonomous Driving with Latent World Model; ICLR","","References","Inventory only; not externally verified"
REF_LI2025C,"References",8,"bibliographic entry","Li et al. 2025c","DriveVLA-W0: World models amplify data scaling law in autonomous driving; arXiv:2510.12796","","References","Inventory only; not externally verified"
REF_LI2025D,"References",8,"bibliographic entry","Li et al. 2025d","ReCogDrive: A Reinforced Cognitive Framework for End-to-End Autonomous Driving; arXiv:2506.08052","","References","Inventory only; not externally verified"
REF_LI2024,"References",8,"bibliographic entry","Li et al. 2024","Hydra-MDP: End-to-end multimodal planning with multi-target hydra-distillation; arXiv:2406.06978","","References","Inventory only; not externally verified"
REF_LIAO,"References",8,"bibliographic entry","Liao et al. 2025","DiffusionDrive: Truncated Diffusion Model for End-to-End Autonomous Driving; CVPR:12037-12047","","References","Inventory only; not externally verified"
REF_LUO,"References",8,"bibliographic entry","Luo et al. 2025","AdathinkDrive: Adaptive thinking via reinforcement learning for autonomous driving; arXiv:2509.13769","","References","Inventory only; not externally verified"
REF_NAIR,"References",8,"bibliographic entry","Nair et al. 2020","AWAC: Accelerating Online Reinforcement Learning with Offline Datasets; arXiv:2006.09359","","References","Inventory only; not externally verified"
REF_TANG,"References",8,"bibliographic entry","Tang et al. 2025","Plan-R1: Safe and Feasible Trajectory Planning as Language Modeling; arXiv:2505.17659","","References","Inventory only; not externally verified"
REF_TIAN,"References",8,"bibliographic entry","Tian et al. 2025","DriveVLM: The Convergence of Autonomous Driving and Large Vision-Language Models; CoRL/PMLR 270:4698-4726","","References","Inventory only; not externally verified"
REF_WANG2025A,"References",8,"bibliographic entry","Wang et al. 2025a","HMAD: Advancing E2E Driving with Anchored Offset Proposals and Simulation-Supervised Multi-Target Scoring; arXiv:2505.23129","","References","Inventory only; not externally verified"
REF_WANG2026,"References",8,"bibliographic entry","Wang et al. 2026","Drive-JEPA: Video JEPA Meets Multimodal Trajectory Distillation for End-to-End Driving; arXiv:2601.22032","","References","Inventory only; not externally verified"
REF_WANG2025B,"References",8,"bibliographic entry","Wang et al. 2025b","OmniDrive: A Holistic Vision-Language Dataset for Autonomous Driving with Counterfactual Reasoning; CVPR:22442-22452","","References","Inventory only; not externally verified"
REF_XING,"References",8-9,"bibliographic entry","Xing et al. 2025","GoalFlow: Goal-driven flow matching for multimodal trajectories generation in end-to-end autonomous driving; CVPR:1602-1611","","References","Entry spans physical pages 8-9; not externally verified"
REF_YAO,"References",9,"bibliographic entry","Yao et al. 2026","HAD: Combining Hierarchical Diffusion with Metric-Decoupled RL for End-to-End Driving; arXiv:2604.03581","","References","Inventory only; not externally verified"
REF_ZENG,"References",9,"bibliographic entry","Zeng et al. 2026","FutureSightDrive: Thinking visually with spatio-temporal cot for autonomous driving; NeurIPS 38:67299-67318","","References","Inventory only; not externally verified"
REF_ZHAO,"References",9,"bibliographic entry","Zhao et al. 2026","From forecasting to planning: Policy world model for collaborative state-action prediction; NeurIPS 38:134585-134611","","References","Inventory only; not externally verified"
REF_ZHOU2025A,"References",9,"bibliographic entry","Zhou et al. 2025a","OpenDriveVLA: Towards End-to-End Autonomous Driving with Large Vision Language Action Model; arXiv:2503.23463","","References","Inventory only; not externally verified"
REF_ZHOU2025B,"References",9,"bibliographic entry","Zhou et al. 2025b","AutoVLA: A Vision-Language-Action Model for End-to-End Autonomous Driving with Adaptive Reasoning and Reinforcement Fine-Tuning; NeurIPS 38","","References","Inventory only; not externally verified"
REF_ZHU,"References",9,"bibliographic entry","Zhu et al. 2025","InternVL3: Exploring advanced training and test-time recipes for open-source multimodal models; arXiv:2504.10479","","References","Inventory only; not externally verified"
REF_ZOU,"References",9,"bibliographic entry","Zou et al. 2025","DiffusionDriveV2: Reinforcement Learning-Constrained Truncated Diffusion Modeling in End-to-End Autonomous Driving; arXiv:2512.07745","","References","Inventory only; not externally verified"
